Home,Price,SqFt,Bedrooms,Bathrooms,Offers,Brick,Neighborhood,PriceCategory,BrickBinary
110,108700,2110,3,2,3,No,East,Cheap,0
111,111600,1710,2,2,1,No,North,Cheap,0
112,114900,1740,2,2,2,No,North,Cheap,0
113,123600,1940,2,2,2,Yes,East,Cheap,1
114,115700,2000,3,2,3,Yes,North,Cheap,1
115,124500,2010,4,3,2,No,East,Cheap,0
116,102500,1900,3,3,3,No,North,Cheap,0
117,199500,2290,5,4,1,Yes,West,Expensive,1
118,117800,1920,3,2,2,No,North,Cheap,0
119,150200,1950,3,2,3,Yes,North,Expensive,1
120,109700,1920,2,2,4,No,North,Cheap,0
121,110400,1930,2,3,3,No,North,Cheap,0
122,105600,1930,3,3,3,No,East,Cheap,0
123,144800,2060,2,2,1,Yes,East,Expensive,1
124,119700,1900,3,3,3,Yes,East,Cheap,1
125,147900,2160,4,3,3,Yes,East,Expensive,1
126,113500,2070,2,2,2,No,North,Cheap,0
127,149900,2020,3,3,1,No,West,Expensive,0
128,124600,2250,3,3,4,No,North,Cheap,0
